pde,model,error
burgers,ltc,1.1706278324127197
burgers,lstm,2.2874622344970703
burgers,node,0.3057718276977539
kdv,ltc,6.090270042419434
kdv,lstm,6.042777061462402
kdv,node,6.065759658813477
ks,ltc,7.452726364135742
ks,lstm,0.05733966827392578
ks,node,1.5059828758239746
nls,ltc,29.106876373291016
nls,lstm,31.159284591674805
nls,node,23.202638626098633
schrodinger,ltc,7.9665422439575195
schrodinger,lstm,0.007045269012451172
schrodinger,node,0.2185821533203125
