pde,seed,simp_v,pde_find,pinn,deepmod
kdv,42,6.036832,534.684785528348,99.98108134111753,534.684785528348
kdv,123,2.1263175,534.684785528348,99.98108134111753,534.684785528348
kdv,456,6.0349216,534.684785528348,99.98108134111753,534.684785528348
kdv,789,6.0510645,534.684785528348,99.98108134111753,534.684785528348
kdv,1011,6.0845504,534.684785528348,99.98108134111753,534.684785528348
burgers,42,1.1181682,1.95494761048344,0.007483262029941984,1.95494761048344
burgers,123,1.1088401,1.95494761048344,0.007483262029941984,1.95494761048344
burgers,456,0.0005438924,1.95494761048344,0.007483262029941984,1.95494761048344
burgers,789,0.46425313,1.95494761048344,0.007483262029941984,1.95494761048344
burgers,1011,0.6828308,1.95494761048344,0.007483262029941984,1.95494761048344
ks,42,5.8932543,2.3064982565647707,1.5770846086170076,2.3064982565647707
ks,123,0.9071708,2.3064982565647707,1.5770846086170076,2.3064982565647707
ks,456,0.118893385,2.3064982565647707,1.5770846086170076,2.3064982565647707
ks,789,4.4982076,2.3064982565647707,1.5770846086170076,2.3064982565647707
ks,1011,0.09471178,2.3064982565647707,1.5770846086170076,2.3064982565647707
schrodinger,42,0.12345314,92.94947317919191,0.003862041006408301,92.94947317919191
schrodinger,123,0.6369114,92.94947317919191,0.003862041006408301,92.94947317919191
schrodinger,456,0.3201127,92.94947317919191,0.003862041006408301,92.94947317919191
schrodinger,789,1.6973734,92.94947317919191,0.003862041006408301,92.94947317919191
schrodinger,1011,28.314854,92.94947317919191,0.003862041006408301,92.94947317919191
nls,42,28.716097,100.0,38.01098145224612,100.0
nls,123,25.780565,100.0,38.01098145224612,100.0
nls,456,29.538023,100.0,38.01098145224612,100.0
nls,789,31.716179,100.0,38.01098145224612,100.0
nls,1011,27.039156,100.0,38.01098145224612,100.0
