pde,coverage,seed_idx,simp_v,pde_find
kdv,20%,0,87.33273315429688,100.0
kdv,40%,0,99.63969421386719,100.0
kdv,60%,0,88.46077728271484,100.0
kdv,80%,0,90.731689453125,100.0
kdv,100%,0,6.045379638671875,534.6847856844958
burgers,20%,0,19.27147102355957,90.2403494080803
burgers,40%,0,12.883133888244629,79.23894347739974
burgers,60%,0,8.858531951904297,75.3629831844472
burgers,80%,0,0.6334558129310608,29.593517602557473
burgers,100%,0,0.9175017476081848,1.95494761048344
ks,20%,0,3.1874895095825195,97.80287162676716
ks,40%,0,6.749832630157471,96.48975043658676
ks,60%,0,0.5244195461273193,95.38365145844689
ks,80%,0,0.6225228309631348,91.01478882296077
ks,100%,0,2.9886364936828613,2.306498256564704
schrodinger,20%,0,0.044989585876464844,91.04844449169588
schrodinger,40%,0,0.0006079673767089844,93.02388517394992
schrodinger,60%,0,0.19500255584716797,93.06759501012701
schrodinger,80%,0,3.278970718383789,92.45586701992593
schrodinger,100%,0,22.837018966674805,92.9494731791919
nls,20%,0,34.15666198730469,100.0
nls,40%,0,25.170581817626953,100.0
nls,60%,0,22.052684783935547,100.0
nls,80%,0,21.35556983947754,100.0
nls,100%,0,25.919654846191406,100.0
kdv,20%,1,85.28662872314453,100.0
kdv,20%,2,99.9372329711914,100.0
kdv,40%,1,87.08159637451172,100.0
kdv,40%,2,93.25211334228516,100.0
kdv,60%,1,97.98136901855469,100.0
kdv,60%,2,94.78260040283203,100.0
kdv,80%,1,89.1381607055664,100.0
kdv,80%,2,99.75792694091797,100.0
kdv,100%,1,6.033595085144043,534.6847856844958
kdv,100%,2,6.036468029022217,534.6847856844958
burgers,20%,1,44.424583435058594,92.88617067233885
burgers,20%,2,0.5482062697410583,88.56124796028601
burgers,40%,1,26.78447151184082,86.13003418680434
burgers,40%,2,0.49708783626556396,74.53347869800078
burgers,60%,1,6.231017589569092,75.3702515812904
burgers,60%,2,0.7145851850509644,56.3053583962641
burgers,80%,1,0.5112737417221069,42.77279394604517
burgers,80%,2,0.03447383642196655,44.65355034609607
burgers,100%,1,1.0654628276824951,1.95494761048344
burgers,100%,2,2.148277997970581,1.95494761048344
ks,20%,1,2.386850118637085,97.69511279956548
ks,20%,2,4.556369781494141,96.67763102113838
ks,40%,1,2.1698594093322754,94.79709025301747
ks,40%,2,5.035603046417236,94.30483126745847
ks,60%,1,0.3947019577026367,92.93104339686799
ks,60%,2,3.09789776802063,90.99975002034438
ks,80%,1,0.9240865707397461,92.378876587571
ks,80%,2,5.131185054779053,91.40301415557124
ks,100%,1,7.0116400718688965,2.306498256564704
ks,100%,2,3.159630298614502,2.306498256564704
schrodinger,20%,1,8.326757431030273,90.24137574161858
schrodinger,20%,2,0.07851123809814453,93.04877605125887
schrodinger,40%,1,0.09711980819702148,94.53861857333725
schrodinger,40%,2,3.3127665519714355,91.73873723280985
schrodinger,60%,1,1.0178089141845703,93.95022859170669
schrodinger,60%,2,0.8417725563049316,93.57286307490207
schrodinger,80%,1,0.5538702011108398,93.15811357495922
schrodinger,80%,2,0.7093191146850586,93.2657010807131
schrodinger,100%,1,9.236812591552734,92.9494731791919
schrodinger,100%,2,14.027870178222656,92.9494731791919
nls,20%,1,28.67967987060547,100.0
nls,20%,2,16.79468536376953,100.0
nls,40%,1,30.184173583984375,100.0
nls,40%,2,18.548309326171875,100.0
nls,60%,1,21.519119262695312,100.0
nls,60%,2,29.00478744506836,100.0
nls,80%,1,39.4608154296875,100.0
nls,80%,2,36.833953857421875,100.0
nls,100%,1,18.78645133972168,100.0
nls,100%,2,28.761634826660156,100.0
