pde,setting,seed_idx,simp_v,pde_find
kdv,gaussian_0.05,0,83.85222625732422,100.0
kdv,gaussian_0.05,1,88.55854797363281,100.0
kdv,gaussian_0.05,2,89.48914337158203,100.0
burgers,gaussian_0.05,0,11.446304321289062,100.0
burgers,gaussian_0.05,1,10.027713775634766,100.0
burgers,gaussian_0.05,2,11.444002151489258,100.0
ks,gaussian_0.05,0,4.405498504638672,100.0
ks,gaussian_0.05,1,1.4205217361450195,99.856300695768
ks,gaussian_0.05,2,4.58371639251709,100.0
schrodinger,gaussian_0.05,0,0.2423405647277832,99.08088312283465
schrodinger,gaussian_0.05,1,14.705753326416016,98.80874572506288
schrodinger,gaussian_0.05,2,22.579360961914062,99.16183127382598
nls,gaussian_0.05,0,16.84591293334961,100.0
nls,gaussian_0.05,1,21.67693328857422,99.63174249728903
nls,gaussian_0.05,2,31.56975555419922,99.84211280969241
